Product_Reviews,Polarity,Type,State,Language
"🆗 EXCELLENT QUALITY 
Ok na din for it’s price as long as it serve it’s purpose.
Wag lang mag expect masyado. Hehe

🆗 ITEM SHIPPED IMMEDIATELY 
Order placed on 8.8 Mega sale 
Received it today 8.13

🆗 WELL PACKED? 
As you can sa pictures. 

THANK YOU SO MUCH 😊",2,With Emoji,,Taglish
"GOOD GOOD GOOD GOOD THANK YOU THANK YOU
GOOD GOOD GOOD GOOD THANK YOU THANK YOU
GOOD GOOD GOOD GOOD THANK YOU THANK YOU
GOOD GOOD GOOD GOOD THANK YOU THANK YOU
GOOD GOOD GOOD GOOD THANK YOU THANK YOU
GOOD GOOD GOOD GOOD THANK YOU THANK YOU",2,Without Emoji,,English
"Seller sends pictures first before shipping it out! Thats really a bonus points for me. Hehe i got this at a very low price, free shipping and COD. It’s really a good transaction! Thank you seller and bless you more 🙏🏻😊😊😊😊😍😍😍😍😍😍😍😍😊😊😊😊😊😊😊😊😊😍😍😍😍",2,With Emoji,,English
The quality of the item is very good for its price. Shipment was also fast and delivered ahead of the expected time. Thank you also to the delivery rider keep safe always. The seller is also responsive on my quires. Thank you,2,Without Emoji,,English
Item shipped immediately. Mabilis din ang delivery. Secured ang product. The product itself ay okay na okay. Ganda ng pagka matte. Wala nga lng ksamang panlinis ng screen pero ngawan nman ng paraan. Will order again sa shop na to.,2,Without Emoji,Double,Taglish
thank you thank you thank you all goods sana yung ceramic kaso sobrang hirap icontrol ng bubbles pero all goods parin thanksss,2,Without Emoji,Double,Taglish
yung andami ko inorder na ceramic tempered pero tatlo lang ang napicturan ko kasi kinuha na ng nagpaorder sakin nakisabay lang para masulit ang shipping fee.. well package din at tlgagang secured ang item..nagsesend din si seller ng pic before shipping.. thanks seller more buyers to come sa shop mo.,2,Without Emoji,,Taglish
"thankyouuuuu, ang bilis nang delivery. No damaged, No issue. Basta ang gandaaaa !! 💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗",2,With Emoji,,Taglish
"Magaling si seller, protektadong protektado ang items kahit halagang 40 pesos lang nagsesend din sya ng picture at mabilis magship oorder ulit ako hehehe maganda service nila pati ang items walang damage tama din ang units  salamat seller",2,Without Emoji,,Taglish
"Picture and video not related but 
THANK YOU THANK YOU THANK YOU THANK YOU 
THANK YOU THANK YOU THANK YOU THANK YOU 
THANK YOU THANK YOU THANK YOU THANK YOU 
THANK YOU THANK YOU THANK YOU THANK YOU",2,Without Emoji,,English
THANK YOUUU!!! THANK YOUUU!!! THANK YOUUU!!! THANK YOUUU!!! THANK YOUUU!!! THANK YOUUU!!! THANK YOUUU!!! THANK YOUUU!!!,2,Without Emoji,,English
mgaganda ang item... di plng nattry gamitin..sana walang damage..ok din ang packaging..mejo mtgal lng bgo na ship thank you seller...,2,Without Emoji,Double,Taglish
Excellent quality. Very accommodating seller. Well packaged item shipped immediately will order again. Thank you shopee. Maganda yung item. I got this in flash deal kaya mura talaga.,2,Without Emoji,,Taglish
The video is not related but received all items complete and very secure plus points for the seller for updating and sending photo of items before shipping.. Thankyouu sooo muuch 😊😊😊😊,2,With Emoji,,Taglish
Why naman ganun di sya nakabubble rap pero ok na din Chineck ko naman di ko makita kung may basag o wala kasi marami masyado design yung plastic nya hehe thank you,2,Without Emoji,Double,Taglish
"Thank you so much seller! Maganda ang packaging, it was super safe. Maganda din ang mismong item. 10/10. Thank you so much!!",2,Without Emoji,,Taglish
Ang gandaaaaaaa!!!!!!! Ang Silas niya sa screen texture. Perfect pang gaming. No Damage at saktong sakto sa phone. Sana may pang infinix Hot 10s at redmi note 10 din.,2,Without Emoji,,Taglish
Ang gandaaaaaaa!!!!!!! Ang Silas niya sa screen texture. Perfect pang gaming. No Damage at saktong sakto sa phone. Sana may pang infinix Hot 10s at redmi note 10 din.,2,Without Emoji,,Taglish
"Good quality siya.Ginamit na namin siya.Cp yan ng partner ko..kulang lang ng sticker kaya medyo maba bubble siya.Pero okay naman..Thankyou and Godbless💖
🍑🍑🍑🍑🍑🍑🍑🍑🍑❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️🍑🍑🍑🍑🍑🍑🍑🍑🍑🍑🍑🍑🍑🍑🍑🍑🍑🍑🍑🍑🍑🍑🍑🍑🍑🍑🍑❤️❤️🍑🍑🍑🍑🍑🍑🍑🍑🍑🍑🍑🍑🍑🍑🍑",2,With Emoji,,Taglish
"It has a good quality, and very affordable prices, thank you so much 🥺❤️ sa wakas Meron na rin ako nito mweheheheheh😹😹😹😍😍😍",2,With Emoji,,Taglish
ganda ng item nagustuhan ng mga anak ko.secure din yung packaging nya.bilis dumating.thank you seller .at sa mamang nagdeliver.🤗😊,2,With Emoji,,Taglish
Super cute. Sana matagal masira or mabasag. Anyway. Thank you seller nag send ng pic bago iship that was good. Sa uulitin. Highly recommend 🥳🥳🥳🥳🥳🥳🥳🥳,2,With Emoji,,Taglish
Thank you 💘😊😊😊☺️😊😊😊☺️😊😊☺️😚😅😊😊😊☺️😚😅😊😊😊☺️😚😅😊😊😊☺️😚😅😊😊😊☺️😚😅🤣🥰😊🤣😅😚☺️😊🥰😂🥰😊☺️😚😅🤣😂🥰😊☺️😚😅🤣😊☺️😚😊😊☺️😚😅😊😊😊☺️😚😅🤣🥰😊☺️😚😅😊😊😊☺️😚😅🤣,2,With Emoji,,English
"Nice quality, it's very durable and very strong. I'll surely order again next time. Nice quality he he he he he he he he he he he he he he he he he he he he",2,Without Emoji,,English
"Very nice item, good quality and sure the phone is protected. Delivered safely and well packaging. Thanks seller and kay kuyang rider po Will order again if kailangan ulit. Shipped immediately and delivered quickly. Keep up the good service pra mas lalong dumami yung customer. Nung nakaraan lang nao",2,Without Emoji,,Taglish
"The shipping was very fast. The parcel is very secured, they are very awesome. The product is affordable. Will order again soon",,,,
Okay na okay yung item at wala naman damage o basag yung tempered glass pero parang Hindi safe yung packaging kase  nakaipit lng sya sa flat na karton. Pero oks lang wala namn damage. Salamat shopee at sa seller,,,,
Saaaaaaaaaaaaalaaaaasaaaamaaaaaat ❣️❣️❣️❣️❣️❣️❣️❣️❣️❣️❣️❣️❣️❣️❣️❣️ shsbsjsnsjdjdkdbdjsisbshsusbsbshjdsjsnsnsjjsj,,,,
"Thanks once again 😁😁 for the ceramic tempered glass
Really good product and right choice 😉👍
This is my second time and still perfect 😽",,,,
"Mabait si seller, nagsend muna ng picture bago ipack yung orders ko, orders complete naman, naship agad at mabait din si kuya rider. About the product: madaling ikabit at ang ganda nya. We will surely buy again. Thanks seller!😊❤️👍",,,,
❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,,,,
el producto es tan hermoso que vale la pena el precio. Podría ordenar nuevamente pronto. ¡Gracias vendedor! 🥰,,,,
JAJAIWNWWJWIQKQNQOQOOQOQMSNSNZJJSNAJWJSNJSJSJWJWNNDJXHSBGQTQYWWOWOWNW💛💛💛💛💛💛💛💛💛💛💛💙💙💛💙💛💙💛💙💛😆😟🥺🧡😉🧡🥳🧡🥳🧡🥳🥳🧡🥳🧡😆😆😆,,,,
EXCELLENT QUALITY EXCELLENT QUALITY EXCELLENT QUALITY EXCELLENT QUALITY WILL ORDER AGAIN WILL ORDER AGAIN WILL ORDER AGAIN,,,,
SUPER NICEEEE NG PRODUCT AND AFFORDABLE PA 😍 NUNG 8.15 KO LANG TO INORDER DUMATING NA AGAD HEHEHEHEHE 😍 WILL ORDER AGAIN 😍,,,,
NAPAKAMURA HAHAHAHAH SANA MAGANDA DIN PERP UPON CHECKING THE PRODUCT MAGANDA NAMAN SILA PWRO PARANG HINDI GLASS HEHEHEHE,,,,
Excellent quality...... item shipped immediately....... got it for a way cheaper price and all worth it........ items were well-packed.,,,,
THANKYOU SELLER 😍🥰. THANKYOU SELLER 😍🥰. THANKYOU SELLER 😍🥰. THANKYOU SELLER 😍🥰. THANKYOU SELLER 😍🥰. THANKYOU SELLER 😍🥰.,,,,
"I recieved the package in good condition and no damage,,complete din lahat ng order q,,,secure n secure ang item nkabubble wrap  at may karton p,,salamat seller till nextime,,salamat shopee at kay kuya rider,,,,,,,",,,,
Ok nmn ung quality sakto lng sa price heheh will buy more soon if masira na..God bless you seller and thank you for shopping the items a bit fast ☺️,,,,
"Haven't used yet. I compared it to the one i'm using (bought from other store), it's not the same. This isn't fully covered.",,,,
"thankyou thankyou thankyou thankyou thankyou thankyou 
thankyou thankyou thankyou thankyou thankyou thankyou 
thankyou thankyou thankyou thankyou thankyou thankyou 
thankyou thankyou thankyou thankyou 
 thankyou thankyou thankyou thankyou thankyou thankyou thankyou",,,,
Thanks Po Ng marami natanggap Kuna Po Yong order ko Po SA inyo thanks Po Ng marami God bless you po sa uulitin po,,,,
My order is complete! Delivered in a very quick and timely manner! Thanks seller for a very smooth transaction!,,,,
Tehhehdhhdjjsnhdhdjjddhhdhhehsjdjjeejejejjejdjndsu lhfkufukfkfufkshgsievrbdlbdobekbkwbkebuegoejpejoejeojeojeoe,,,,
Maganda. Po walang damage . Thank you so muchhh sellerrrrrr. And sa courier kase Hindi nabasag Yung screen even though karton Lang Yung pinangpatigas Niya but okay Lang atleast maayos Yung item,,,,
second time ko na po umorder dto mabait yung seller nag ssend ng pic bago ipa ship and good quality yung tempered mura pa tuwang tuwa asawa ko 😊,,,,
This one is super affordable......item shipped immediately and well-packaged.........thank you sellerrrrrr.....,,,,
This one is super affordable......item shipped immediately and well-packaged.........thank you sellerrrrrr.....,,,,
みかまはまかまかまなかまはやかまにかまなまなまなかわさなさなわさなわさなわさなわなさわなまたけたあかさなまなやさやはるへかにねふかたやねるまや🥰なかいかしきさるやーわやら(つなたにむはやはわ、やなわなや)ゆなゆたやなたないかさなちなやなににつなたにけちゆなちこはなさまひしきぬたはやなまかやさまちうかぁけすはぬてなたねふにゃまやなやなたにたなた😻なはにきかさはそへぬとぬゆめゃ、らゅなたなかなまははゆかまけたかたかたかちかいのきにゆらはたゆぬられろ、りゆるや、らやなゆま、ゆまやち、ぬやら、にやまだやまゃよなち、まめやたゆぬちなかあきたゅゆなゃやまたまつあたにみやた）りはにやまたなはゆめやたいき,,,,
matagal dumating pero ok naman sya. order ulit ako sa sunod. thank you seller at rider. next time ulit  sa sunod iba nmaammn orderin ko,,,,
U get what you pay so far ayos namn sya kaso parang may grado ung screen ng phone ko kaya medyo nakakapanibago overall ayos nmn sya and before i ship out nagsesend ng pic si seller. Thank youu seller,,,,
"The seller went above and beyond to get me my order after having an issue with the USPS. I will definitely be ordering more! I received at the right time, and it’s looks prefect.Fast delivery. Looks awesome. Would buy from seller again.Great description of item. Like new. Very prompt as well.",,,,
"Excellent service😍😍😍
Excellent service😍😍😍
Excellent service😍😍😍
Excellent service😍😍😍
Excellent service😍😍😍
Excellent service😍😍😍",,,,
I got my parcel yesterday. Sorry for late rating. Okay po yung matte protector. Kaso may bubbles bubbles siya:( thank youuuu seller🙂,,,,
Affordable and quality is superb. Shipping takes time tho understandable because it's ecq. Will order a lot next time. Thank you so much.,,,,
"— The quality of the item is fine. Additionally, the item was sent out right away. This is an item that I strongly suggest!! I'll buy from you again without a doubt!!",,,,
"Di ko na napicture-an kase nakabit ko na sa phone ko. Pero as usual, angganda pa din. Ang pangit kase ng pagkakakabit ng isa ko pang nabili dito din sa store na to. Pero suliiiit! Til' next time uleee",,,,
"Good product. Nagsesend ng pic si seller bago i-ship. Medyo nayupi yung lalagyan, pero wala namang damage since flexible naman yung tempered. Ang smooth nya sa kamay, wala talagang bakas ng fingerprint. Will surely order again. 😊 Thank you! ❤️",,,,
"Ang ganda niya, superrrr. Downside lang is hindi ako makapagsalamin. Dahil nga ceramic matte, I can't see my reflection sa screen, unlike sa dati kong gamit. Pero ayun, ang ganda niyang gamitin and hindi siya nagbabakbak. Kudos sa seller & this shop! ♡",,,,
"9 days until last Marlboro Vista Raffle draw! You can still input Marlboro Vista unique pack codes to get raffle entries for a chance to win a DSLR camera, Action Camera, or Smart Watch!

Input your codes here: m.marlb.ph/QXdy7bFxS

Promo open only to smokers 18YO & above. T&C apply.
GOVERNMENT WARN",,,,
👍👍👍👍👍👍full screen nga minipis lng ..pero sulit nrn kz mura lng.,,,,
"Thank youuu!!! Sobrang ayos ng item walang kasira sira at kumpleto yung laman sa loob, kada order ko di ako nabibigo. Salamat seller!!!",,,,
"The items is all in a good condition, yupi nga lang yung boxes ng facemasks pero okay lang,  no big deal, thank you so much 💖💖",,,,
Mabilis shinip. Maayos yung packaging safe yung product kaso nagulat ako karton akala ko nabudol ako hahaha. Pero over all ok naman yung product.,,,,
Very good quality........ Buyers really love it... It was so comfortable to use .......... More orders to come.......,,,,
Hindi ko pa sya nakakabit pero nabuksan ko na. So far soo good maganda naman and legit matte film sya. Mabilis din naideliver and well packaged.,,,,
Maganda pla ang ceramic akala cu ganun cea kakapal sah tempered peru d nman pala . Sure nah d mababasag agad eto dahil mejo manipis lng to . Thankyou kce dumating sken ng safe 😍,,,,
Okay lahat good item lahat. Order uli ako pag my paorder ako salamat seller😍👍,,,,
Salamatoon shopeeeeeee. Tas sa nag deliver. Kudos po. Stay safe sa bawat deliver. Thankkk you so muchhhhhhhhhh. Lablabbb ❤️,,,,
Thanks thanks thanks thanks thanks thanks thanks thanks thanks thanks thanks thanks thanks thanks thanks thanks thanks thanks,,,,
"Salamat shopee
Salamat shopee
Salamat shopee
Salamat shopee
Salamat shopee
Salamat shopee
Salamat shopee
Salamat shopee",,,,
"I still remember
Third of December
Me in your sweater
You said it looked better

On me, than it did you
Only if you knew
How much I liked you
But I watch your eyes, as she

Walks by
What a sight for
Sore eyes
Brighter than a
Blue sky
She's got you
Mesmerized
While I die

Why would you ever kiss me?",,,,
"Excellent quality for its price. Saktong sakto sa screen ng phone ko unlike sa iba na may mga spaces sa gilid na di nalalagyan ng protector. Sobrang smooth nya sa kamay. Thanksss, will order again!!!",,,,
All my orders were complete and right. It was safely wrapped with cardboards and bubble wrap. This is my second time ordering from this shop. Thank you!,,,,
"- excellent quality 💯
- Accommodating seller ☺️
- Well-packaged 💯
- item shipped immediately
- will order again 💯

* Bussiness is not financial science, its about trading. Buying and selling. Its about creating a product or service so good that people will pay for it *",,,,
"Excellent quality ✅
Excellent quality ✅
Excellent quality ✅
Well-packagedd ✅
Well-packagedd ✅
Well-packagedd ✅
Will order again  ✅",,,,
"Maganda yung quality nung item, well packed nakabalot talaga ng karton para di ma damage and mabait yung seller mag sesend muna ng pic bago ipaship out",,,,
Thank you po seller. Okay naman po yung product what you see is what you get. Film po siya. Yung kanyang shipping ay mabilis.,,,,
i haven't used the product but i guess it serves its purposed naman although mejo manipis siya. when it comes to the shipping it's excellent! thank you!!,,,,
Medyo sobra sa cp ko pero oks lang mura naman and well packed thankyou pa din 🌹 The pic and vid is for rating purposes lamang.,,,,
"Thank you shoppee !
Thank you seller !
Thank you sa courier !
Mblis lanq po transaction qood items bukod Nqa lnq po dun sa headset d po Sya qumaqana seller😔 btw, slmat po...",,,,
Excellent quality well package item shipped immediately 👍 👍 👍 👍 👍 👍 👍 👍 👍 👍 👍 👍 👍 👍 👍 👍 👍 👍 👍 👍 👍 👍 👍 👍 👍 👍 👍 👍 👍 👍 👍 👍 👍 👍 👍 👍 👍 👍 👍 👍 👍 👍 👍 👍 👍 👍 👍 👍 👍 👍 👍,,,,
"PHOTOS NOT RELATED!!!

di kasi sakin pina order lnggg, magandaa dawww sabi nung gumagamit THANK YOU
di kasi sakin pina order lnggg, magandaa dawww sabi nung gumagamit THANK YOU
di kasi sakin pina order lnggg, magandaa dawww sabi nung gumagamit THANK YOU",,,,
"Thank you so much! Ang bilis lang ng pag dating, and good quality of products din. Im so happyy, thank you much!! Ill buy again next time!",,,,
"Nice product, mabilis s'ya mag arrive and nagsesend si seller ng picture before shipment. Photo and Video is not related to the product and is for coin purposes only.",,,,
"Due to the unexpected high volume of incoming verification applications, please expect delays on the approval. We apologize for this inconvenience but rest-assured that we are doing our best to accommodate all your requests. You will be receiving an SMS notification about the status within 5 days. T",,,,
3 🌟 only malabo yung screen . yung lang ma rate ko well mura kasi defend lang talaga sa price pag mura wala ka aasahan quality . any way thanks seller and shopee . photo and videos not related,,,,
"To my LDR partner its not easy. Pero never kung inisip na ipagpalit ka sa malapit hindi naman yun reason para magloko diba? dahil sayo palang ang saya kona at  kuntento nako sayo coz u always feel me im the luckiest and the best person in the world (charrr HAHAHHAHA) btw stay ka lang mahh baby ah🥺,",,,,
Grabe! Nahirapan ako magkabit kasi hindi pa sanay hehe but everything is okay from packaging to delivery safe na safe!!,,,,
"Thank you seller...maayos yung pagkaka pack ng parcel...secured talaga yung product.. Ang ganda ng tempered glass para siyang plastic nabe bend ..and for me nd sia mababasag ng Basta Basta kc nafle flex sia..thank You..

Will order again..",,,,
"Maganda ang pagka-package, secured na secured. ❤️ Mabilis din ma-ship. 😍 Nabili ko 'to sa murang halaga.🥰 Thank you seller!🧡",,,,
https://www.facebook.com/groups/lachofficial/permalink/567118354431488/?app=fblhttps://www.facebook.com/groups/lachofficial/permalink/567118354431488/?app=fblhttps://www.facebook.com/groups/lachofficial/permalink/567118354431488/?app=fblhttps://www.facebook.com/Akariiph/videos/359277862433747/?app=f,,,,
"Ok ang item pag dating sakin, kaso nga lang yong inorder kong kulay wla so pinalitan ni seller ng ibang kulay, kaso di lng sya nagsabi sakin na iba kulay nilagay na pra atleas mkapili nmn ako ulit 😔 pro all in all ok parin kasi wlang sira 😉",,,,
Maganda sya,,,,
"Order Date: 08. 06
Ship Date: 08. 06
Delivery Date: 08. 09
Items have good quality. Also received complete items. Thank You seller and Shopee. Sorry, no actual photo of the product.",,,,
"Thank seller and delivery man until next transaction...   ..   .........
...........,,,,,,,,,,,  ................   ....",,,,
Secodn timw to order. Kasi nasscratch yung screen pero sabe dito anti scratch. Pero oks lang thanks.Secodn timw to order. Kasi nasscratch yung screen pero sabe dito anti scratch. Pero oks lang thanks,,,,
grabe ang tagalnyang dumating mas una pang dumating ung sa china pa galing...👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎,,,,
"5⭐ the item looks okay
haven't used it yet since i bought these as reserves in case i need to change the protector again in the future. Hopefully it is not damaged",,,,
2nd time to buy in this shop. Gaya nung una maganda padin at maayos yung product na dumating. Maaga din dumating. Will order again soon.,,,,
"Hi, Ka-TM! Alam namin kung gaano kahalaga ang pananatiling connected sa iyong pamilya, mga kaibigan, at sa balita ngayon. Kaya andito ang EasySURF99 Doble Freebie, na may 2GB data for all sites, 14GB (2GB araw-araw) para sa FunPinoy pack, at unli calls and texts to al networks, all valid for 7 days.",,,,
"Bnvmnhix pixuxxu
Xjxjxjxiuxjjxnjjhhhhhhhhhhhhjjjjjjjjhhhhhjjhhjjjjjjjjjjjjjjjjjjjjjjjjjjhjjjjjjjjjjjjjjj",,,,
EXCELLENT QUALITY. WELL-PACKAGED SO HINDI MAGKAKARON NG DEFECT. ITEM SHIPPED IMMEDIATELY. WILLLLLL ORDEERRRRR AGAINNNN.,,,,
"👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍
okay naman siya!!! ginamit ko agad kasi why not HAHAHHAHAHAHAHAHAHAHAHAHA maayos din yung pagka wrap",,,,
Sakto po sya sa phone ko at napaka ganda ng item saktong sakto at sobrang secured ng item dahil madami yung karton para di sya mabasag thank you seller at kay kuyang nag deliver,,,,
"Thank You So Mucchhh 😁😁 Really Appreciated and Liked it 👍👍 Fast Delivery and really make it secure and protected, no damage 😊🥰",,,,
Thaaaaank youuuuu selllleeeeerrr. CUUUTIIIIEEE. LOVE IIIIIT😊😊😊😘😊❣️....... Willlll orderrrrrrr nexxxt timeeee.😘❣️,,,,
Fg hmm khgffvvbbbbbnnnnnnnnnnnnnnbñbkhgffvvbbbbbnnnnnnnnnnnnnnbñbbbbbnbbbbnkhgffvvbbbbbnnnnnnnnnnnnnnbñbbbbbnkhgffvvbbbbbnnnnnnnnnnnnnnbñbbbbbn,,,,
"thank youuuuuuuuuuuuuuuuuuuuuuuuuuu
good and nice huhuhuhuhuhuhuhuhuhuhuhuhuhuhuhuhuhuhuhuhuhuhuhuhuhuhuhuhuhu",,,,
Item well packed. Mabilis dumating order namin. Mura sya pero maganda quality. Thank you seller sa uulitin po........,,,,
SUPER GANDA NG ITEM MADALI LANG DIN IKABIT SA SCREEN TAPOS MURA PA MABILIS LANG DIN DUMATING 😍😍😍 THANK YOU SO MUCH SELLER 💖💖💖,,,,
legit poh 2nd order ko n poh sza shop n toh ..ang bilis poh ng deliver nila ❤️ at kompleto din ang order ko..,,,,
"Thank you seller pic m muna bago m ipadala Wla bagsak silyado.........
S uulitin ma order ako ulit dto a shop n ito 😘😘😘😘😘😘😘😘😘😘😘",,,,
gaksndheknshdnlaidhbsjskdkbfusmdhudkahdybdiskebdhuskshdyiwngdiwkchuebdkaodubdjakjsusbjakxusbiahxbskaidbnalsudbnaishdoemxghwksbfusnhxbzjsudkdhhskdjd,,,,
"Stop thinking you are not qualified, not fit, not experience enough.

Growth takes place when you start doing stuff you are not qualified to do.

Cto",,,,
"Magandaa yung quality, tama rin yung item na dineliver... Saktoo lang siya dun sa phone na kinabitan. Salamaaat seller",,,,
Mabilis dumating. Well package naman pero may scratch na agad yung isa pagkakita ko palang 😢 sayang naman. Thank you pa din,,,,
Nice product. Very affordable.. gooood packaging. The seller is very polite din. Will order in this shop again. Thaaank Youuuu so much!!!!!,,,,
Nice product. Maganda maglaro ng ml kasi smooth siya. Nice quality sana tumagal siya at di magasgas. Excellent👍🏻👍🏻👍🏻👍🏻👍🏻,,,,
nakakatuwa mabilis lang naship at nadeliver. maganda ang quality ng item at maganda pagkakapackage nakabubble wrap na may karton pa. sure na sure na hindi madadamage ang item. thank you seller thank you shopee,,,,
Very accommodating seller. well packed. sobrang bilis naman madeliver talaga. Thank you. will surely order again. ✔️,,,,
"Nice and good quality,wil order again♥️♥️♥️♥️🥰🥰🥰🥰🥰🥰🥰🥰♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️",,,,
